address,county,bed,bath,prop_type,area,price,price_n
"2 Park View, Ashtown, Dublin 15", Dublin 15,2 Bed,2 Bath,Duplex,,"€335,000",335000.0
"41 Bessborough Avenue, North Strand, Dublin 3", Dublin 3,3 Bed,3 Bath,Terrace,107 m²,"€425,000",425000.0
"5 Abbey Way, Wicklow Town, Co. Wicklow", Co. Wicklow,4 Bed,3 Bath,Detached,163 m²,"€595,000",595000.0
"Carnpark, Mount Temple, Co. Westmeath", Co. Westmeath,4 Bed,3 Bath,Detached,,"€575,000",575000.0
"11 Wilton Hall, Merrymeeting, Rathnew, Co. Wicklow", Co. Wicklow,1 Bed,1 Bath,Apartment,52 m²,"€195,000",195000.0
"Baun, Dunmore, Co. Kilkenny", Co. Kilkenny,6 Bed,5 Bath,Detached,345 m²,"€600,000",600000.0
"59 Lios Ard, Tulla Road, Ennis, Co. Clare", Co. Clare,3 Bed,3 Bath,Semi-D,109 m²,"€215,000",215000.0
"2 Ardmore Hills, Ardmore Road, Mullingar, Co. Westmeath", Co. Westmeath,4 Bed,4 Bath,Detached,200 m²,"€399,950",399950.0
"3 Cnoc Na Gréine, Granard, Co. Longford", Co. Longford,4 Bed,4 Bath,Detached,174 m²,"€190,000",190000.0
"Farganstown, Navan, Co. Meath", Co. Meath,4 Bed,3 Bath,Detached,204 m²,"€600,000",600000.0
"The White House, Ballinacragga, Newmarket on Fergus, Co. Clare", Co. Clare,4 Bed,4 Bath,Detached,293 m²,"€595,000",595000.0
"Dromena Hill, Castlebellingham, Co. Louth", Co. Louth,5 Bed,3 Bath,Detached,300 m²,"€700,000",700000.0
"Carrowphadeen, Lecarrow, Co. Roscommon", Co. Roscommon,4 Bed,1 Bath,Bungalow,117 m²,"€175,000",175000.0
"4 Summerfield, Castlebar, Co. Mayo", Co. Mayo,4 Bed,5 Bath,Detached,160 m²,"€285,000",285000.0
"Bluebells Grove, Countess Road, Killarney, Co. Kerry", Co. Kerry,4 Bed,4 Bath,Detached,232 m²,"€600,000",600000.0
"15 Barrett Place, Macroom, Co. Cork", Co. Cork,2 Bed,1 Bath,End of Terrace,,"€115,000",115000.0
"17 Woodvale Crescent, Clonsilla, Dublin 15", Dublin 15,3 Bed,3 Bath,Semi-D,123 m²,"€349,000",349000.0
"Apartment 11, Phoenix, Riverpark Apartments, Islandbridge, Dublin 8", Dublin 8,2 Bed,2 Bath,Apartment,64 m²,"€365,000",365000.0
"9 Turnapin Cottages, Cloghran, Santry, Dublin 9", Dublin 9,3 Bed,1 Bath,Semi-D,96 m²,"€330,000",330000.0
"13 Woodlands, Abbeycartron, Longford Town, Co. Longford", Co. Longford,5 Bed,4 Bath,Detached,204 m²,"€345,000",345000.0
"58 Kilcarn Court, Navan, Co. Meath", Co. Meath,4 Bed,2 Bath,Detached,114 m²,"€280,000",280000.0
"Apartment 45D, Adelphi Quay, Co. Waterford", Co. Waterford,1 Bed,1 Bath,Apartment,,"€120,000",120000.0
"Kilmullen, Portarlington, Co. Laois", Co. Laois,5 Bed,4 Bath,Detached,230 m²,"€550,000",550000.0
"67 An Tsean Dun, Roslevan, Ennis, Co. Clare", Co. Clare,5 Bed,4 Bath,Detached,146 m²,"€289,000",289000.0
"Ardaghowen, Sligo, Co. Sligo", Co. Sligo,4 Bed,1 Bath,Detached,167 m²,"€375,000",375000.0
"Killary View, Leenane, Co. Galway", Co. Galway,3 Bed,3 Bath,Detached,172 m²,"€725,000",725000.0
"Monivea Co Galway, Ryehill, Co. Galway", Co. Galway,,,Site,756 ac,"€50,000",50000.0
"Dursey, 118 Bandon Road, Co. Cork", Co. Cork,3 Bed,1 Bath,End of Terrace,86 m²,"€250,000",250000.0
"4 Belmont Heights, Drumsna, Co. Leitrim", Co. Leitrim,5 Bed,4 Bath,Detached,215 m²,"€300,000",300000.0
"385 The Sycamores, Kilnacourt Woods, Portarlington, Co. Laois", Co. Laois,2 Bed,1 Bath,Terrace,76 m²,"€169,000",169000.0
"35 Patrician Villas, Stillorgan, Co. Dublin", Co. Dublin,3 Bed,1 Bath,Terrace,83 m²,"€495,000",495000.0
"Knoppoge, Aghadoe, Killarney, Co. Kerry", Co. Kerry,4 Bed,2 Bath,Detached,165 m²,"€450,000",450000.0
"Roo West, Ardnacrusha, Co. Clare", Co. Clare,3 Bed,2 Bath,Detached,119 m²,"€329,000",329000.0
"10 Churchview, Glenalbyn Road, Stillorgan, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Apartment,59 m²,"€375,000",375000.0
"10 Colpe Park, Deepforde, Drogheda, Co. Meath", Co. Meath,4 Bed,3 Bath,Detached,138 m²,"€425,000",425000.0
"Summerbank, Oldcastle, Co. Meath", Co. Meath,4 Bed,3 Bath,Bungalow,165 m²,"€320,000",320000.0
"9 Canterbrook, Trim Road, Navan, Co. Meath", Co. Meath,4 Bed,3 Bath,Semi-D,129 m²,"€290,000",290000.0
"33 The Fairways, Old Course, Mallow, Co. Cork", Co. Cork,4 Bed,3 Bath,Semi-D,130 m²,"€245,000",245000.0
"Annerbank, Charleville Road, Tullamore, Co. Offaly", Co. Offaly,3 Bed,1 Bath,Detached,128 m²,"€350,000",350000.0
"29 Whitehall, Tullamore, Co. Offaly", Co. Offaly,5 Bed,2 Bath,Detached,153 m²,"€335,000",335000.0
"Villa Rosa, Sarsfieldstown, Julianstown, Co. Meath", Co. Meath,5 Bed,3 Bath,Detached,373 m²,"€695,000",695000.0
"Colga House, Strandhill Road, Sligo, Co. Sligo", Co. Sligo,3 Bed,2 Bath,Bungalow,109 m²,"€375,000",375000.0
"Pebble Beach, Upper Curragh, Ardmore, Co. Waterford", Co. Waterford,4 Bed,5 Bath,Detached,565 m²,"€2,500,000",2500000.0
"13 The Blennicks, Rosses Point, Co. Sligo", Co. Sligo,3 Bed,3 Bath,Terrace,104 m²,"€299,000",299000.0
"Stone Lodge, Ballyorban, Monkstown, Co. Cork", Co. Cork,4 Bed,3 Bath,Detached,306 m²,"€855,000",855000.0
"1 Brú Na Habhainn, Collooney, Co. Sligo", Co. Sligo,3 Bed,3 Bath,Semi-D,96 m²,"€165,000",165000.0
"3 Glenair Manor, Delgany, Co. Wicklow", Co. Wicklow,5 Bed,4 Bath,Detached,355 m²,"€1,150,000",1150000.0
"Apartment 15, The Courtyard, Ballygawley, Co. Sligo", Co. Sligo,2 Bed,2 Bath,Apartment,,"€150,000",150000.0
"118 Sweetmount Avenue, Dundrum, Dublin 14", Dublin 14,3 Bed,1 Bath,Semi-D,109 m²,"€625,000",625000.0
"Lower Ballydaw, Kilmacow, Co. Kilkenny", Co. Kilkenny,4 Bed,1 Bath,Detached,230 m²,"€275,000",275000.0
"10 Eastmore, Bushy Park Road, Terenure, Dublin 6", Dublin 6,3 Bed,2 Bath,Apartment,101 m²,"€525,000",525000.0
"Apartment 14, The Courtyard, Ballygawley, Co. Sligo", Co. Sligo,2 Bed,2 Bath,Apartment,92 m²,"€150,000",150000.0
"Tullylannan, Leitrim, Co. Leitrim", Co. Leitrim,3 Bed,1 Bath,Detached,,"€240,000",240000.0
"Apartment 36, Block B, The Oaks, Portarlington, Co. Laois", Co. Laois,2 Bed,2 Bath,Townhouse,80 m²,"€125,000",125000.0
